,cluster,cluster_frequency
496,497,"[(' Restaurants', 1), (' American (Traditional)', 1), ('Bars', 1), (' Nightlife', 1), (' Sports Bars', 1)]"
497,498,"[(' Restaurants', 1), ('Thai', 1)]"
498,499,"[('Food', 1), (' Grocery', 1)]"
499,500,"[(' Hotels', 1), (' Event Planning & Services', 1), ('Hotels & Travel', 1)]"
500,501,"[('Movers', 1), (' Home Services', 1)]"
501,502,"[(' Notaries', 1), ('Local Services', 1)]"
502,503,"[(' Hotels', 1), (' Bed & Breakfast', 1), (' Event Planning & Services', 1), ('Hotels & Travel', 1)]"
503,504,"[(' Restaurants', 1), (' Bars', 1), (' Nightlife', 1), (' American (New)', 1), ('Belgian', 1)]"
504,505,"[('Pet Services', 1), (' Dog Walkers', 1), (' Pet Boarding/Pet Sitting', 1), (' Pets', 1)]"
505,506,"[('Bakeries', 1), (' Food', 1), (' Desserts', 1)]"
506,507,"[('Food', 1), (' Ice Cream & Frozen Yogurt', 1)]"
507,508,"[(' Home Services', 1), ('Electricians', 1), (' Lighting Fixtures & Equipment', 1)]"
508,509,"[('American (Traditional)', 1), (' Restaurants', 1)]"
509,510,"[(' Swimming Pools', 1), ('Active Life', 1)]"
510,511,"[(' Automotive', 1), ('Car Wash', 1)]"
511,512,"[('Masonry/Concrete', 1), (' Home Services', 1)]"
512,513,"[(' Restaurants', 1), ('Barbeque', 1)]"
513,514,"[('German', 1), (' Food', 1), (' Beer', 1), (' Wine & Spirits', 1), (' Restaurants', 1)]"
514,515,"[('Food', 1), (' Candy Stores', 1), (' Specialty Food', 1)]"
515,516,"[('Medical Centers', 1), (' Health & Medical', 1)]"
516,517,"[('Food', 1), (' Coffee & Tea', 1)]"
517,518,"[(' Restaurants', 1), ('Pizza', 1)]"
518,519,"[(' Italian', 1), ('Restaurants', 1)]"
519,520,"[(' Body Shops', 1), ('Automotive', 1)]"
520,521,"[(' Self Storage', 1), ('Local Services', 1)]"
521,522,"[('Movers', 1), (' Home Services', 1), (' Local Services', 1), (' Self Storage', 1)]"
522,523,"[(' Hiking', 1), ('Active Life', 1)]"
523,524,"[(' Airport Shuttles', 1), (' Limos', 1), ('Hotels & Travel', 1), (' Transportation', 1)]"
524,525,"[('Home Services', 1), (' Heating & Air Conditioning/HVAC', 1)]"
525,526,"[('Churches', 1), (' Religious Organizations', 1)]"
526,527,"[(' Restaurants', 1), (' Caterers', 1), ('Chicken Wings', 1), (' Soul Food', 1), (' Event Planning & Services', 1)]"
527,528,"[(' Bed & Breakfast', 1), ('Hotels & Travel', 1)]"
528,529,"[('Food', 1), (' Grocery', 1)]"
529,530,"[(' Restaurants', 1), (' American (Traditional)', 1), (' Pizza', 1), ('Sandwiches', 1)]"
530,531,"[(' Mini Golf', 1), ('Active Life', 1)]"
531,532,"[('Food', 2), (' Coffee & Tea', 2)]"
532,533,"[(' Restaurants', 1), ('Seafood', 1)]"
533,534,"[(' Restaurants', 1), (' American (Traditional)', 1), ('Cafes', 1), (' Sandwiches', 1)]"
534,535,"[(' Venues & Event Spaces', 1), ('Country Clubs', 1), (' Event Planning & Services', 1), (' Arts & Entertainment', 1)]"
535,536,"[('Pet Services', 1), (' Pet Stores', 1), (' Pet Boarding/Pet Sitting', 1), (' Pets', 1)]"
536,537,"[(' Hotels', 1), (' Event Planning & Services', 1), ('Hotels & Travel', 1), (' Venues & Event Spaces', 1)]"
537,538,"[(' Sports Bars', 1), ('Bars', 1), (' Nightlife', 1)]"
538,539,"[('Food', 1), (' Breweries', 1)]"
539,540,"[(' Golf', 1), ('Active Life', 1)]"
540,541,"[('American (Traditional)', 1), (' Restaurants', 1)]"
541,542,"[('Libraries', 1), (' Public Services & Government', 1)]"
542,543,"[(' Shopping', 1), (' Office Equipment', 1), ('Local Services', 1), (' Printing Services', 1)]"
543,544,"[('Food', 1), (' Breweries', 1)]"
544,545,"[(' Restaurants', 1), ('Burgers', 1), (' Fast Food', 1)]"
545,546,"[(' Home Services', 1), ('Keys & Locksmiths', 1)]"
546,547,"[(' Restaurants', 1), ('Pizza', 1)]"
547,548,"[('Food', 1), (' Ice Cream & Frozen Yogurt', 1)]"
548,549,"[('Bars', 1), (' Nightlife', 1)]"
549,550,"[('Plumbing', 1), (' Home Services', 1), (' Heating & Air Conditioning/HVAC', 1)]"
550,551,"[(' Home Services', 1), ('Electricians', 1)]"
551,552,"[('Bakeries', 1), (' Food', 1), (' Donuts', 1)]"
552,553,"[('Local Flavor', 1)]"
553,554,"[(' Restaurants', 1), ('Pizza', 1)]"
554,555,"[('Health & Medical', 1), (' Hospitals', 1)]"
555,556,"[('Food', 1), (' Desserts', 1), (' Ice Cream & Frozen Yogurt', 1)]"
556,557,"[(' Automotive', 1), (' Oil Change Stations', 1), ('Auto Repair', 1)]"
557,558,"[(' Beauty & Spas', 1), (' Nail Salons', 1), ('Day Spas', 1)]"
558,559,"[(' Restaurants', 1), ('Cafes', 1), (' Sandwiches', 1), (' Salad', 1)]"
559,560,"[(' Shopping', 1), ('Arts & Entertainment', 1), (' Antiques', 1), (' Bikes', 1), (' Sporting Goods', 1), (' Museums', 1)]"
560,561,"[(' Education', 1), (' Specialty Schools', 1), ('Art Schools', 1)]"
561,562,"[('Food', 1), (' Grocery', 1)]"
562,563,"[(' Automotive', 1), ('Car Wash', 1)]"
563,564,"[(' Recreation Centers', 1), (' Playgrounds', 1), ('Active Life', 1)]"
564,565,"[(' Restaurants', 1), ('Bars', 1), (' Barbeque', 1), (' Nightlife', 1)]"
565,566,"[('Tobacco Shops', 1), (' Shopping', 1)]"
566,567,"[(' Restaurants', 1), (' Pizza', 1), (' Salad', 1), ('Italian', 1)]"
567,568,"[(' Restaurants', 1), (' Mediterranean', 1), ('American (New)', 1)]"
568,569,"[('Automotive', 1), (' Auto Detailing', 1)]"
569,570,"[('Tires', 1), (' Automotive', 1), (' Oil Change Stations', 1), (' Auto Repair', 1)]"
570,571,"[(' Swimming Pools', 1), ('Active Life', 1)]"
571,572,"[('Food', 1), (' Specialty Food', 1)]"
572,573,"[('Transmission Repair', 1), (' Automotive', 1)]"
